# Reviewed meanings for the root words used in Wortaufbau (js/word-parts.js): word <TAB> English <TAB> Tamil
# English: the everyday main sense (replaces Ding's automatically chosen gloss, which was sometimes a side sense).
# Tamil: translated with AI assistance (Claude) and reviewed for this app; shown with a note on every page.
# Checked by scripts/build_word_parts.py — every root used as a part must have a line here.
Abend	evening	மாலை
Abenteuer	adventure	சாகசம்
achten	to pay attention, to respect	கவனி / மதி
ahnen	to suspect, to sense	உணர் / ஊகி
Akt	act	செயல் / நாடக அங்கம்
Aktie	share (stock)	பங்கு
aktiv	active	சுறுசுறுப்பான
albern	silly	முட்டாள்தனமான
All	all; (outer) space	அனைத்தும்
allein	alone	தனியாக
Alter	age	வயது
Amt	office, authority	அலுவலகம்
Analyse	analysis	பகுப்பாய்வு
anstrengen	to make an effort	முயற்சி எடு
antworten	to answer	பதில் சொல்
Anzeige	advertisement; report	விளம்பரம் / புகார்
Arbeit	work	வேலை
arbeiten	to work	வேலை செய்
Arbeitnehmer	employee	ஊழியர்
Architekt	architect	கட்டிடக் கலைஞர்
arm	poor	ஏழையான
Armut	poverty	வறுமை
Art	kind, type; manner	வகை / விதம்
Arzt	doctor	மருத்துவர்
atmen	to breathe	சுவாசி
auf	on, onto (fixed preposition)	மேல் (நிலையான முன்னிடைச்சொல்)
auferlegt	imposed	விதிக்கப்பட்ட
aufmuntern	to cheer up	உற்சாகப்படுத்து
Aufnahme	admission; recording	சேர்க்கை / பதிவு
Auftrag	order, task	பணி / ஆணை
Aufwand	effort, expense	முயற்சி / செலவு
Auge	eye	கண்
ausbeuten	to exploit	சுரண்டு
ausloten	to sound out, to explore	ஆராய்
Auto	car	கார்
Autor	author	எழுத்தாளர்
baden	to bathe	குளி
Bahn	railway; track, path	ரயில் பாதை / வழி
Ball	ball	பந்து
Bau	construction, building	கட்டுமானம்
Bauch	belly	வயிறு
bauen	to build	கட்டு
Bedarf	need, demand	தேவை
bedingt	conditional	நிபந்தனைக்குட்பட்ட
bedürftig	needy	தேவையுள்ள
beeinträchtigen	to impair	பாதி
Befehl	order, command	கட்டளை
befriedigen	to satisfy	திருப்திப்படுத்து
befristet	limited in time	கால வரம்புக்குட்பட்ட
begegnen	to meet (by chance)	எதிர்கொள் / சந்தி
begrenzt	limited	வரையறுக்கப்பட்ட
Begriff	term, concept	கருத்து / சொல்
behaglich	cosy	வசதியான
beharren	to insist	வலியுறுத்து
Behörde	authority (office)	அரசு அலுவலகம்
berechenbar	predictable	கணிக்கக்கூடிய
berechtigt	entitled, justified	உரிமையுள்ள
Berechtigung	entitlement, authorisation	உரிமை / அனுமதி
bereichern	to enrich	வளப்படுத்து
bereit	ready	தயாரான
Beruf	profession, job	தொழில்
Besatzung	crew; occupation (military)	குழு / ஆக்கிரமிப்பு
bescheiden	modest	அடக்கமான
beschweren	to complain	புகார் செய்
beschäftigen	to employ; to keep busy	பணியமர்த்து / ஈடுபடுத்து
bessern	to improve	மேம்படுத்து
Bestand	stock, existence	இருப்பு
bestätigen	to confirm	உறுதிப்படுத்து
beteiligen	to take part	பங்கேற்
beteiligt	involved	சம்பந்தப்பட்ட
betreuen	to look after	கவனித்துக்கொள்
Bett	bed	படுக்கை
betten	to embed, to lay down	பதி / படுக்க வை
beugen	to bend	வளை
bevormunden	to patronise	அதிகாரம் செலுத்து
bevorstehen	to be about to happen	நெருங்கி வா
bewaffnet	armed	ஆயுதம் தாங்கிய
bewegen	to move	நகர்த்து / அசை
bezogen	related (to)	தொடர்புடைய
Bezug	reference, relation	தொடர்பு
bieten	to offer	வழங்கு
Bild	picture, image	படம்
bilden	to form; to educate	உருவாக்கு / கல்வி கொடு
binden	to tie, to bind	கட்டு
Blatt	leaf; sheet	இலை / தாள்
bleiben	to stay	தங்கு / இரு
Blick	look, view	பார்வை
Blitz	lightning, flash	மின்னல்
Blut	blood	இரத்தம்
Boden	ground, floor	தரை / நிலம்
Bogen	bow, arc	வில் / வளைவு
bohren	to drill	துளையிடு
brauchen	to need	தேவைப்படு
Braut	bride	மணப்பெண்
brechen	to break	உடை
brennen	to burn	எரி
bringen	to bring	கொண்டுவா
Brot	bread	ரொட்டி
Buch	book	புத்தகம்
buchen	to book	முன்பதிவு செய்
Buchstabe	letter (of the alphabet)	எழுத்து
Bund	federation, union	கூட்டமைப்பு
Burg	castle	கோட்டை
bügeln	to iron	இஸ்திரி போடு
Bürger	citizen	குடிமகன்
Chance	chance	வாய்ப்பு
Christ	Christian	கிறிஸ்தவர்
dabei	there, present; with it	உடன் / அங்கே
Dach	roof	கூரை
danken	to thank	நன்றி சொல்
Dauer	duration	கால அளவு
dauern	to last	நீடி
Decke	blanket; ceiling	போர்வை / மேற்கூரை
decken	to cover	மூடு
demonstrieren	to demonstrate	ஆர்ப்பாட்டம் செய் / காட்டு
denken	to think	நினை / சிந்தி
deuten	to interpret, to point	விளக்கு / சுட்டிக்காட்டு
dicht	dense, tight	அடர்த்தியான
